CPF Fake,Nome Fake,Endereco Fake,Bairro Fake,CEP,Cidade Fake,UF,Data_Nascimento Fake,Score Fake
72309323195,ana claudia Garcia,"Rua Placido de Castro, 8137",J Kubitschek,76829385,Porto Velho,RO,19011980,986
67872346435,ana cristina schneider,"AV CABO BRANCO, 30",Cabo Branco,58045905,Joao Pessoa,PB,13011974,741
10499355512,ana luiza de lucca,"Beco Nove de Julho, 14",N Sra Fatima,30230170,Belo horizonte,mg,29031960,680
80857085824,ana luiza Pinheiro,"Travessa Largo do Farol, 56 casa 6",Mae Luiza,59014382,Natal,RN,18011979,727
87507768007,ana maria lino,"Rua Piraja da silva, 41 3 andar",Vl Metalurgica,09220830,Santo andre,sp,16091980,461
81590019164,Ana Novais,"Viaduto Tiradentes, 555 bloco C",Rio Branco,90430200,Porto Alegre,RS,11101968,749
62343210039,ana paula langrin,"Rua Raimundo Nonato, 2005",Jd Comerciarios,31640230,Belo Horizonte,MG,01051990,883
80731779355,anderson aveleda,Via Republica do Equador 62,Montese,60420820,Fortaleza,CE,04011965,720
70504661078,anderson Corte Real,Rua Manoel Ache 996,Jardim Iraja,14020590,S J dos campos,SP,27011988,888
56012014554,anderson wash,"2a Travessa Rio Largo, 1",COHAB,51340002,Recife,PE,14011975,980
45202908059,Andre jacomelli,"Avenida Rui Barbosa, 798",Torre,58040490,Joao pessoa,pb,11101979,998
67137269095,Andre zacchi,"Beco da Consolacao, 101 casa 11",Consolacao,29045466,Vitoria,ES,06011967,419
72086129785,Andrea franca,Avenida Equatorial 236,Jd Marco Zero,68903361,Macapa,AP,03011963,658
92779272325,Andreia Sales,Passagem Jarbas Passarinho 684,Castanheira,66645410,Belem,PA,12011973,257
65988932169,Andresa belmock,Rua Manoel Ache 1000,Jardim Iraja,14020590,S J dos campos,SP,27011988,457
63543429973,andressa de sousa,Rua Lapa 55,Esplanada,30280120,Belo Horizonte,MG,02031978,388
88199072911,andressa martinelli,"Rua Niteroi, 2002",Pq Ind Lagoinha,14095020,Ribeirao preto,sp,23041985,667
19156167784,andressa Nogueira,Avenida Equatorial 355,Jd Marco Zero,68903361,Macapa,AP,03011963,981
80557491673,Andrezza brooke,rua macatuba 10 sala 50,vila morellato,06408040,Barueri,sp,31031962,464
93357565714,Andrezza canzian,Rua Nossa Senhora da Consolacao 1,Angelim,64040685,Teresina,PI,15011976,877
32855607205,Andrezza Infante,Rua Manoel Ache 989,Jardim Iraja,14020590,S J dos campos,SP,27011988,578
45606831406,Angelika Cordoba,beco jardim Paulista s/n,Aleixo,69060361,S J dos campos,SP,12071990,214
96531747544,Angelina Jacques,Rua Nova Republica 500 10 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,945
04299542045,Anna walloey,"Rua Direita da Piedade 10, 10 and",Barris,50070190,Salvador,ba,10041972,580
14219152865,Anne barbosa,"Rua Nina Lima, 900 bloco d",Trincheiras,58011090,Joao Pessoa,PB,20031962,561
54659360709,anthony das Neves,Rua Lapa 404,Esplanada,30280120,Belo Horizonte,MG,09011970,889
52558329286,anthony de Lacerda,"Praça Tito Silva, 302",Miramar,58043092,Joao pessoa,PB,01041963,441
36862437844,anthony Quarteira,"Av. Glaycon de Paiva, 720",Centro,69301250,Bos Vista,RR,20011981,229
59975737455,antonela dos santos ,Rodovia dos Naufragos km 332,Zona de Expansao,49000016,Aracaju,SE,23011984,188
97174635571,Antonia jannarelli,"Rua Jaragua, 107",Jd Topazio,12216460,S J dos campos,SP,23031959,957
27693087508,Antonio abbenberg,Rua Montreal 87,jardim canada,14024130,Ribeirao Preto,SP,11021997,368
59054353678,Antonio da costa,"Praça Tito Silva, 301",Miramar,58043092,Joao pessoa,pb,24041986,716
82054347191,Antonio de Menezes,Av Brasil 1000,Compensa,69036110,Manaus,AM,03011962,416
70487398009,Antonio lightwood,"Rua Raimundo Nonato, 2001",Jd Comerciarios,31640230,Belo Horizonte,MG,01051990,524
13469981833,Aphonso zucolo,Rua Joe Collaço. 580,Santa Monica,88035200,Florianopolis,SC,22011983,527
84622988658,Apolo Jaques,"Avenida Rui Barbosa, 806",Torre,58040490,Joao pessoa,PB,06081956,568
64519399866,Apolo wisch,Via Republica do Equador 63,Montese,60420820,Fortaleza,CE,04011965,688
83810505293,aristarco fonseca,"Rua Paulista, 789 cj 21",Piraja,31910340,Belo horizonte,mg,08041970,774
47561032196,Arthur doyle,Avenida Equatorial 367,Jd Marco Zero,68903361,Macapa,AP,03011963,692
18793798482,Arthur Furtado,"2a Travessa Rio Largo, 10",COHAB,51340002,Recife,PE,14011975,822
51160998817,Arthur Maciel,"Beco da Consolacao, 101 casa 5",Consolacao,29045466,Vitoria,ES,06011967,967
82209925304,Artur Ferrari,"Rua Placido de Castro, 8126",J Kubitschek,76829385,Porto Velho,RO,19011980,396
27892499547,atriel Veiga,rua joviania 654,cidade maia,07114080,Guarulhos,SP,20021988,437
61778862489,ava castiel,SCS Quadra 8 Bloco B Lotes 50/64,Asa Sul,70333900,Brasilia,DF,05011966,684
40731578503,ava giglioli,"Rua Placido de Castro, 8139",J Kubitschek,76829385,Porto Velho,RO,19011980,698
34947128089,ayla dolabella,Rua Lapa 403,Esplanada,30280120,Belo Horizonte,MG,09011970,633
48148309205,ayla lange,Rua Direita da Piedade 677,Barris,50070190,Salvador,BA,29041989,233
27163110723,ayla schoemberg,Avenida Ceara 248,Baixada Habitasa,69905163,Rio Branco,AC,01011960,759
71295818752,barbara mazzaropi,beco jardim Paulista s/n,Aleixo,69060361,S J dos campos,SP,12071990,438
19659528019,Beatriz hamburg,"Rua Pampulha, 1877",Cj Taquaril,30290494,Belo Horizonte,MG,16021992,732
72905484853,Benjamin Flores,Rua Lapa 24 apto 18,Esplanada,30280120,Belo Horizonte,MG,09011970,558
34996513942,Bento salles,Rua Manoel Ache 31 sala 12,Jardim Iraja,14020590,S J dos campos,SP,27011988,796
01325162922,Bento Teles,"Beco da Consolacao, 101 casa 12",Consolacao,29045466,Vitoria,ES,06011967,795
61207916471,Bernardo ataide,"Rua Placido de Castro, 8140",J Kubitschek,76829385,Porto Velho,RO,19011980,670
25074230055,Bernardo de melo,Rua Montreal 87,jardim canada,14024130,Ribeirao Preto,SP,11021997,933
24230428502,Bernardo de souza,"Rua Siqueira Campos, 962",Centro,12210250,S J dos campos,SP,21031961,966
80892596503,Betina menegel,Avenida Guaicurus 341,Jd Campina Verde,79062194,Campo Grande,MS,10011971,903
06090242136,Betina Sales,"Rua Piraja da silva, 45 2 andar",Vl Metalurgica,09220830,Santo andre,sp,21041983,647
85487817693,bianca tome,rua macatuba 10 sala 20,vila morellato,06408040,Barueri,sp,30071951,818
29178643627,Bruno gianezi,"Beco da Consolacao, 101 casa 10",Consolacao,29045466,Vitoria,ES,06011967,359
12207461424,Caetano Dorneles,Rua Manoel Ache 516,Jardim Iraja,14020590,S J dos campos,SP,31071958,655
00348167555,Caetano doyle,"Rua Placido de Castro, 8138",J Kubitschek,76829385,Porto Velho,RO,19011980,439
66747193075,Caetano Moura,Rua Manoel Ache 992,Jardim Iraja,14020590,S J dos campos,SP,27011988,759
27881101385,Caetano zanelatto,Rua Engenheiros Reboucas 1426,Reboucas,80230040,Curitiba,pr,08051994,511
09090324674,Caio hoffmann,"Av. Glaycon de Paiva, 722",Centro,69301250,Bos Vista,RR,20011981,676
81231250895,camila esmeria,"Av. Glaycon de Paiva, 729",Centro,69301250,Bos Vista,RR,20011981,784
95947987422,carmen vandino,Avenida Vila Paulista 80,Santa Monica,40342180,Salvador,BA,22071996,592
45334204431,Carolina bernardi,"Rua Placido de Castro, 8132",J Kubitschek,76829385,Porto Velho,RO,19011980,911
35018474084,Carolina Rebelo,"2a Travessa Rio Largo, 2",COHAB,51340002,Recife,PE,14011975,357
13021085067,caroline Geraldes,"AV CABO BRANCO, 29",Cabo Branco,58045905,Joao Pessoa,PB,13011974,909
11492537381,caroline stalone,Avenida Equatorial 298,Jd Marco Zero,68903361,Macapa,AP,03011963,829
02497634351,Catarina sander,Alameda do Forte km 4 Bloco B,Piata,41650375,Salvador,BA,05031975,808
63256473865,Catarina stalone,"Rua Paulista, 793",Piraja,31910340,Belo Horizonte,MG,25041988,918
33674343886,Cecilia beckmann,Alameda do Forte,Piata,41650375,Salvador,ba,27041988,876
63110495465,Cecilia da silva,"Viaduto Tiradentes, 101",Rio Branco,90430200,Porto Alegre,RS,21011982,656
09263837104,cezar beckmann,"Av. Glaycon de Paiva, 715",Centro,69301250,Bos Vista,RR,20011981,807
03200303859,cezar Mello,Rodovia dos Naufragos km 333,Zona de Expansao,49000016,Aracaju,SE,23011984,481
23323674464,cezar pedroso,"Rua Placido de Castro, 8135",J Kubitschek,76829385,Porto Velho,RO,19011980,795
93262630969,charles Jacques,Rua Manoel Ache 991,Jardim Iraja,14020590,S J dos campos,SP,27011988,667
12370578335,christina Teixeira,"R Comend Gabriel Calfat, 77",Jd Leonor,05621000,Sao paulo,sp,22051960,816
90565024507,Cicero sanches,Rua Lapa 24 apto 25,Esplanada,30280120,Belo Horizonte,MG,09011970,972
93728422495,Clarisse beckmann,Avenida Ceci 111,Tambore,06460120,Barueri,sp,26081971,242
76985619339,Clarisse Freitas,"Rua Diamantina, 308",Jd Ismenia,12220663,S J dos campos,SP,11031969,727
22265945315,claudia Freitas,Avenida Ceara 506 apto 36,Baixada Habitasa,69905163,Rio Branco,AC,11111999,297
20981766005,claudia pessoa,"Rua Nina Lima, 1708",Trincheiras,58011090,Joao pessoa,pb,25041987,588
06544146617,claudinea zucolo,"Rua Niteroi, 2000",Pq Indl Lagoinha,14095020,Ribeirao preto,sp,28071950,543
87982657419,claudineia Chaves,Rua Nossa Senhora da Consolacao 2,Angelim,64040685,Teresina,PI,15011976,711
52570545236,clelia Magalhaes,"AV CABO BRANCO, 25",Cabo Branco,58045905,Joao Pessoa,PB,13011974,110
19410825563,coralina Barros,"Travessa Largo do Farol, 59",Mae Luiza,59014382,Natal,RN,18011979,759
02982129272,cristiana Morais,Rua Joe Collaço. 578,Santa Monica,88035200,Florianopolis,SC,22011983,525
94720125743,cristiano Camacho,Rua Amapa (Lot Ipe) 55,Bone Azul,68909461,Macapa,AP,28061982,254
16103536502,cristiano Escobar,Alameda do Forte 1807,Piata,41650375,Salvador,BA,04011964,735
23532561042,cristiano franco,"Rua Paulista, 790",Piraja,31910340,Belo Horizonte,MG,15031967,439
02225977208,cristina balestre,"Rua Eponino Macuco, 100",Capao Raso,81110450,Curitiba,PR,16011977,342
92101723026,cristina Brittes,"Viaduto Tiradentes, 116",Rio Branco,90430200,Porto Alegre,RS,21011982,585
36215049239,daniel castiel,"Viaduto Tiradentes, 100",Rio Branco,90430200,Porto Alegre,RS,21011982,529
54526468339,daniel de giacomo,Avenida Guaicurus 339,Jd Campina Verde,79062194,Campo Grande,MS,10011971,678
14326852011,daniel Rezende,Rua Sao Joao 268,Santa Laura,78091152,Cuiaba,MT,11011972,653
21590046854,daniele filipovi,"Viaduto Tiradentes, 105",Rio Branco,90430200,Porto Alegre,RS,21011982,649
14217914636,danielle de Gouveia,1203 Sul Alameda 1,Plano Diretor,77019435,Palmas,TO,25011986,46
91862094691,Dante de assis,Avenida Aruana 207,Tambore,06460010,Barueri,SP,18071993,885
46203243612,diana castiel,SCS Quadra 8 Bloco B Lotes 50/63,Asa Sul,70333900,Brasilia,DF,05011966,781
90357339754,diana Jaques,"Rua Raimundo Nonato, 200",Jd Comerciarios,31640230,Belo Horizonte,MG,10021998,528
58442378707,diego Andrade,"Viaduto Tiradentes, 114",Rio Branco,90430200,Porto Alegre,RS,21011982,625
31611306779,diego lago,Rodovia dos Naufragos km 330,Zona de Expansao,49000016,Aracaju,SE,23011984,802
79235997348,Dora de vargas,Avenida Vila Paulista 79f,Santa Monica,40342180,Salvador,BA,01121988,605
53715996811,Doralice giglioli,Travessa Paraguacu Paulista 100,Crespo,69073189,Manaus,AM,22021986,531
46119802274,edson hermann,"Rua Paulista, 87",Piraja,31910340,Belo horizonte,mg,14081962,913
85776667194,eduarda atique,"Rua Paulista, 791",Piraja,31910340,Belo Horizonte,MG,08021999,738
14415348491,eduarda Muniz,"Rua Gutenberg Alvarenga, 115",Vila Caraguata,11535090,Cubatao,sp,27051963,759
94313528938,Eduardo Curado,"Rua Noruega, 1934",Jd Alto Rio Preto,15020230,S J do Rio Preto,sp,10081958,774
98654402377,eika liberato,"2a Travessa Rio Largo, 4",COHAB,51340002,Recife,PE,14011975,610
36634379572,elias zuchi,"Rua Pampulha, 101",Cj Taquaril,30290494,belo horizonte,mg,04091974,910
88385284974,Elis Brito,"Rua prof Max Zendron, 903",Vl Sao Jorge,06402010,Barueri,SP,08031972,525
32857297327,Elis Conceicao,"R Comend Gabriel Calfat, 77",Jd Leonor,05621000,Sao paulo,sp,22051960,327
00392245205,Elis Siqueira,Passagem Jarbas Passarinho 682,Castanheira,66645410,Belem,PA,12011973,578
81431607509,Elisa kalil,"Travessa Largo do Farol, 57",Mae Luiza,59014382,Natal,RN,18011979,541
06650739251,emannuel Gonzaga,Largo Santa Cruz 21,Trapiche da Barra,57010373,Maceio,AL,02011961,372
80127677836,emannuel leal,Avenida Aruana 205,Tambore,06460010,Barueri,sp,08101978,265
12863339621,emannuel lins,"2a Travessa Rio Largo, 3",COHAB,51340002,Recife,PE,14011975,509
70371367433,emannuel Mayer,Rua Sao Joao 266,Santa Laura,78091152,Cuiaba,MT,11011972,485
32172359912,emilia dos santos ,"Rua dos Pinheiros, 504",Jorge Teixeira,69088400,Manaus,am,12081960,844
93570542602,emilia hamburg,"Beco Nove de Julho, 9",N Sra de Fatima,30230170,Belo Horizonte,MG,23021985,607
66168539182,emilia Mendes,"Avenida Rui Barbosa, 805",Torre,58040490,Joao pessoa,PB,06081956,938
71028796366,emilia Torres,"Rua Paulista, 792",Piraja,31910340,Belo Horizonte,MG,15031967,896
02218988321,emiliana Assis,"Av. Glaycon de Paiva, 724",Centro,69301250,Bos Vista,RR,20011981,884
75524773933,emiliana Portela,"Praça Tito Silva, 300",Miramar,58043092,Joao pessoa,pb,10111985,866
37964227726,emilio Belchior,"Rua Raimundo Nonato, 258",Jd Comerciarios,31640230,belo horizonte,mg,02081953,896
95308332371,Enrico Novais,Rua Joe Collaço. 581,Santa Monica,88035200,Florianopolis,SC,22011983,251
78315505777,enzo Brites,Estr Municipal Rodolfo Sebastião Alvarenga km25,Costinha,12214460,S J dos campos,SP,02061967,764
18020171606,epitacio da gama,Alameda do Forte 1810,Piata,41650375,Salvador,BA,04011964,524
34210386782,epitacio raposo,Avenida Equatorial 789,Jd Marco Zero,68903361,Macapa,AP,03011963,934
93213796905,erick de Resende,"Rua Pampulha, 13 bloco A",Cj Taquaril,30290494,belo horizonte,mg,01101973,677
07146997561,Estela de queiroz,Avenida Equatorial 123,Jd Marco Zero,68903361,Macapa,AP,03011963,818
44657234587,Estela Gouveia,Via Republica do Equador 61,Montese,60420820,Fortaleza,CE,04011965,494
16608761414,Estevao colaferri,"Beco da Consolacao, 101 casa 13",Consolacao,29045466,Vitoria,ES,06011967,451
00734111088,Eunice vandino,"AV CABO BRANCO, 23",Cabo Branco,58045905,Joao Pessoa,PB,13011974,641
05558176105,evelyn woodward,"Rua Gutenberg Alvarenga, 117",Vila Caraguata,11535090,Cubatao,sp,27051963,701
74515781782,Fabiano silvestorne,"Viaduto Tiradentes, 113",Rio Branco,90430200,Porto Alegre,RS,21011982,687
16067459302,Fabio mazzali,"Av. Glaycon de Paiva, 726",Centro,69301250,Bos Vista,RR,20011981,775
01421922282,Fabio Rabelo,"Travessa Largo do Farol, 66",Mae Luiza,59014382,Natal,RN,18011979,657
55990889526,fausto ganzarolli,Rua Lapa 24 apto 27,Esplanada,30280120,Belo Horizonte,MG,09011970,585
30123957842,felipe atique,"Travessa Largo do Farol, 56 casa 5",Mae Luiza,59014382,Natal,RN,18011979,790
28146571352,felipe Figueiredo,Avenida Aruana 201,Tambore,06460010,Barueri,SP,25031957,906
76448349588,felipe Infante,"Av. dos Estudantes, 238",Vl Aeroporto,15025310,S J do Rio Preto,sp,22081970,870
94263800605,fernando dolla,Rua Nossa Senhora da Consolacao 3,Angelim,64040685,Teresina,PI,15011976,461
84274395049,filipe e Almeida,Av Brasil 205,Garcia,40100560,Salvador,BA,05021997,815
30617157383,flavia de Moura,"Rua Cila, 561",Vila Imperial,15015800,S J do Rio Preto,sp,08081957,364
73420996519,flavio de Gouveia,Avenida Ceara 506 apto 12,Baixada Habitasa,69905163,Rio Branco,AC,11111999,712
53822130702,Floriano esmeria,SCS Quadra 8 Bloco B Lotes 50/60,Asa Sul,70333900,Brasilia,DF,05011966,583
30445031328,Floriano Gentil,Rua Nova Republica 500 11 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,966
96390047312,fred Domingues,"Beco da Consolacao, 101 casa 8",Consolacao,29045466,Vitoria,ES,06011967,822
11446401138,frederico de lucca,"Rua Niteroi, 2001",Pq Indl Lagoinha,14095020,Ribeirao preto,sp,28071950,572
17124386624,fritz giacomo,"Rua Placido de Castro, 8127",J Kubitschek,76829385,Porto Velho,RO,19011980,728
83430692695,gabriel bastos,"Rua Pampulha, 501 bloco B",Cj Taquaril,30290494,Belo Horizonte,MG,16021992,955
27486005336,gabriel Castro,"Beco da Consolacao, 101 casa 9",Consolacao,29045466,Vitoria,ES,06011967,504
31384094741,gabriel zucolo,Passagem Jarbas Passarinho 681,Castanheira,66645410,Belem,PA,12011973,404
47540034386,gabriele de Moura,"Rua Placido de Castro, 8125",J Kubitschek,76829385,Porto Velho,RO,19011980,888
40901767514,gabriele Dias,Rua Nova Republica 500 15 and,Vila Luizao,65068635,Sao Luiz,MA,08011969,537
73309119416,gabriele porto,"Rua Paulista, 794",Piraja,31910340,Belo Horizonte,MG,08021999,926
24788423782,gabrielle Meirelles,"Beco da Consolacao, 101 casa 6",Consolacao,29045466,Vitoria,ES,06011967,850
78242383189,gael Muniz,Rua Direita da Piedade 677,Barris,50070190,Salvador,BA,16031966,424
82192827113,George Lessa,"Rua Placido de Castro, 8136",J Kubitschek,76829385,Porto Velho,RO,19011980,510
59954662839,geovane parent,Passagem Jarbas Passarinho 680,Castanheira,66645410,Belem,PA,12011973,710
22189470722,giana belikov,"Travessa Largo do Farol, 58",Mae Luiza,59014382,Natal,RN,18011979,756
57689398731,giana woodward,Rua Joe Collaço. 582,Santa Monica,88035200,Florianopolis,SC,22011983,566
40990182967,giovana barbosa,Rua Lapa 24 apto 24,Esplanada,30280120,Belo Horizonte,MG,09011970,991
03274832294,giovani crispim,Avenida Ceara 506 apto 68,Baixada Habitasa,69905163,Rio Branco,AC,11111999,743
89691289725,giovani hoffmann,SCS Quadra 8 Bloco B Lotes 50/66,Asa Sul,70333900,Brasilia,DF,05011966,521
71118361032,giovani Rebello,"Rua Piraja da silva, 45 1 andar",Vl Metalurgica,09220830,Santo andre,sp,16101981,410
50337939349,giovani wash,"Rua Gutenberg Alvarenga, 114",Vila Caraguata,11535090,Cubatao,sp,27051963,519
21615631909,giovanna atique,"Av. dos Estudantes, 237",Vl Aeroporto,15025310,S J do Rio Preto,sp,22081970,107
64682291467,giovanna montenegro,"Viaduto Tiradentes, 115",Rio Branco,90430200,Porto Alegre,RS,21011982,937
12623009759,Gisela Guterres,"Rua Pampulha, 10a bloco b",Cj Taquaril,30290494,belo horizonte,mg,16041978,466
10919758762,Guilhermina Portela,Alameda do Forte 1808,Piata,41650375,Salvador,BA,04011964,796
80680805206,Gustavo Gouveia,Rua Promotor Jose Medeiros 33,Farolandia,49030690,Aracaju,SE,19031963,972
10935120165,Gustavo Sampaio,"Rua Raimundo Nonato, 328",Jd Comerciarios,31640230,Belo horizonte,mg,11041973,671
52383203963,hans Alencastro,"Avenida Rui Barbosa, 801",Torre,58040490,Joao pessoa,PB,06081956,281
26426947989,heinz de giacomo,Avenida Equatorial 201,Jd Marco Zero,68903361,Macapa,AP,03011963,586
37251488728,heinz de Peixoto,Rua Montreal 80,jardim canada,14024130,Ribeirao Preto,SP,11021997,805
57040365545,heinz morgan,SCS Quadra 8 Bloco B Lotes 50/61,Asa Sul,70333900,Brasilia,DF,05011966,664
17081132073,Heitor filipovi,Rua Lapa 55,Esplanada,30280120,Belo Horizonte,MG,02031978,558
12792204494,Heitor zanata,"Av. Glaycon de Paiva, 719",Centro,69301250,Bos Vista,RR,20011981,806
66577684782,Helena Garcia,Rua Lapa 24 apto 22,Esplanada,30280120,Belo Horizonte,MG,09011970,461
48306674006,Helena hamburg,rua macatuba 10 sala 99,vila morellato,06408040,Barueri,sp,31031962,754
29578661703,helenne fischer,"Beco Nove de Julho, 16",Nossa Sra Fatima,30230170,Belo horizonte,mg,24061980,965
92332515941,helenne Guimaraes,Avenida Guaicurus 340,Jd Campina Verde,79062194,Campo Grande,MS,10011971,963
25084531708,helenne Teles,"AV CABO BRANCO, 24",Cabo Branco,58045905,Joao Pessoa,PB,13011974,124
01198210524,Helio buckmann,"2a Travessa Rio Largo, 8",COHAB,51340002,Recife,PE,14011975,870
02651940402,Helio mallory,"Rua Cila, 555",Vila Imperial,15015800,S J do Rio Preto,sp,08081957,277
62357063327,Helio Morais,Rua Amapa (Cj Marex) 78 bloco D,Val-de-Caes,66617540,Belem,PA,30061983,931
69223180481,hellen Vieira,"Travessa Largo do Farol, 63",Mae Luiza,59014382,Natal,RN,18011979,708
93814078276,Heloisa calil,Rua Fernando Ribeiro Reboucas 1009,Gabriela,44028883,Feira de Santana,BA,12051996,952
66246292666,heloise lambertini,"Travessa Largo do Farol, 56 casa 7",Mae Luiza,59014382,Natal,RN,18011979,854
